Ticket_ID,Ticket_Date,Business_Unit,Location,Request_Type,Priority,Channel,Assigned_Team,Status,Resolution_Hours,SLA_Target_Hours,SLA_Breached,Rework_Count,Customer_Satisfaction,FTE_Cost_per_Hour,Estimated_Cost,Month,Month_No,Quarter,Weekday
OPS-101659,2025-06-09,Customer Support,Noida,Invoice Query,Medium,Email,Vendor Management,Closed,2.5,24,No,0,4.3,350,875.0,Jun,6,Q2,Monday
OPS-100733,2025-08-05,IT,Mumbai,Employee Query,Medium,Email,Vendor Management,Closed,20.2,24,No,0,4.6,350,7070.0,Aug,8,Q3,Tuesday
OPS-103875,2025-05-23,Procurement,Bengaluru,Invoice Query,Medium,Portal,MIS,Closed,5.4,24,No,0,5.0,280,1512.0,May,5,Q2,Friday
OPS-101335,2025-10-20,Procurement,Gurugram,Compliance Request,Low,Portal,HR Ops,Closed,8.1,48,No,0,4.8,450,3645.0,Oct,10,Q4,Monday
OPS-103608,2025-02-14,HR,Hyderabad,Vendor Query,Medium,Email,HR Ops,Closed,1.8,24,No,0,4.9,350,630.0,Feb,2,Q1,Friday
OPS-101008,2025-01-13,Procurement,Pune,Employee Query,High,Teams,MIS,Closed,16.8,12,Yes,1,4.0,450,7560.0,Jan,1,Q1,Monday
OPS-102746,2025-11-01,Procurement,Mumbai,Invoice Query,Low,Teams,IT Support,Closed,9.5,48,No,0,4.6,350,3325.0,Nov,11,Q4,Saturday
OPS-103424,2025-12-23,IT,Mumbai,Data Correction,High,Email,IT Support,Closed,20.0,12,Yes,0,4.3,320,6400.0,Dec,12,Q4,Tuesday
OPS-102847,2025-08-05,IT,Chennai,System Issue,Medium,Email,Finance Ops,Closed,14.0,24,No,0,4.7,450,6300.0,Aug,8,Q3,Tuesday
OPS-103077,2025-03-08,Finance,Mumbai,Access Request,High,Email,Finance Ops,Closed,2.1,12,No,0,5.0,280,588.0,Mar,3,Q1,Saturday
OPS-100168,2025-12-06,Finance,Bengaluru,System Issue,Medium,Phone,IT Support,Closed,19.6,24,No,1,4.2,320,6272.0,Dec,12,Q4,Saturday
OPS-104875,2025-09-25,Procurement,Chennai,Vendor Query,Medium,Email,Vendor Management,Closed,28.1,24,Yes,0,4.2,450,12645.0,Sep,9,Q3,Thursday
OPS-101376,2025-01-29,HR,Bengaluru,Compliance Request,High,Email,HR Ops,Closed,11.9,12,No,2,4.2,400,4760.0,Jan,1,Q1,Wednesday
OPS-104728,2025-04-02,Procurement,Gurugram,Data Correction,Low,Phone,MIS,Escalated,5.4,48,No,1,5.0,320,1728.0,Apr,4,Q2,Wednesday
OPS-100834,2025-12-18,Operations,Mumbai,Report Request,Medium,Portal,Finance Ops,Closed,20.7,24,No,0,3.8,320,6624.0,Dec,12,Q4,Thursday
OPS-101841,2025-12-26,Operations,Noida,Compliance Request,Low,Portal,MIS,Closed,10.2,48,No,0,4.6,450,4590.0,Dec,12,Q4,Friday
OPS-101880,2025-08-26,Sales,Chennai,Compliance Request,High,Portal,Vendor Management,Closed,8.3,12,No,1,4.3,350,2905.0,Aug,8,Q3,Tuesday
OPS-102323,2025-05-24,HR,Bengaluru,Report Request,Low,Portal,Finance Ops,Escalated,9.7,48,No,1,4.1,320,3104.0,May,5,Q2,Saturday
OPS-101221,2025-02-01,Finance,Gurugram,Vendor Query,Low,Email,Finance Ops,Escalated,5.3,48,No,4,3.5,400,2120.0,Feb,2,Q1,Saturday
OPS-104071,2025-04-09,Procurement,Pune,Report Request,Medium,Teams,IT Support,Closed,8.0,24,No,0,4.8,450,3600.0,Apr,4,Q2,Wednesday
OPS-102357,2025-11-19,Procurement,Chennai,Report Request,Low,Teams,MIS,Escalated,8.3,48,No,1,5.0,400,3320.0,Nov,11,Q4,Wednesday
OPS-100210,2025-02-23,Sales,Mumbai,Compliance Request,High,Portal,Vendor Management,Pending,5.4,12,No,1,4.5,400,2160.0,Feb,2,Q1,Sunday
OPS-103743,2025-10-30,HR,Chennai,Compliance Request,Low,Email,HR Ops,Pending,22.6,48,No,0,4.1,320,7232.0,Oct,10,Q4,Thursday
OPS-100015,2025-06-01,Customer Support,Bengaluru,Vendor Query,High,Portal,Finance Ops,Closed,5.4,12,No,1,4.5,450,2430.0,Jun,6,Q2,Sunday
OPS-102897,2025-12-20,HR,Gurugram,Data Correction,Low,Email,Vendor Management,Escalated,12.2,48,No,1,4.1,350,4270.0,Dec,12,Q4,Saturday
OPS-104289,2025-03-20,IT,Chennai,Vendor Query,Medium,Teams,HR Ops,Closed,9.5,24,No,1,4.1,320,3040.0,Mar,3,Q1,Thursday
OPS-102543,2025-04-11,Operations,Hyderabad,Employee Query,Low,Teams,HR Ops,Closed,1.2,48,No,0,4.7,450,540.0,Apr,4,Q2,Friday
OPS-104490,2025-01-03,Customer Support,Gurugram,Employee Query,High,Teams,HR Ops,Closed,2.9,12,No,0,4.6,350,1015.0,Jan,1,Q1,Friday
OPS-100752,2025-03-24,Sales,Pune,Employee Query,Low,Teams,IT Support,Closed,5.4,48,No,0,4.6,400,2160.0,Mar,3,Q1,Monday
OPS-101584,2025-11-25,HR,Bengaluru,Data Correction,Medium,Email,Finance Ops,Pending,2.4,24,No,1,4.8,280,672.0,Nov,11,Q4,Tuesday
OPS-102548,2025-02-12,HR,Chennai,Invoice Query,Low,Email,IT Support,Closed,20.3,48,No,2,3.3,350,7105.0,Feb,2,Q1,Wednesday
OPS-103680,2025-08-29,Operations,Chennai,Vendor Query,Low,Teams,MIS,Closed,17.1,48,No,0,4.1,450,7695.0,Aug,8,Q3,Friday
OPS-103593,2025-07-13,Sales,Hyderabad,Report Request,Low,Teams,Finance Ops,Closed,14.9,48,No,0,5.0,400,5960.0,Jul,7,Q3,Sunday
OPS-100312,2025-08-18,Sales,Mumbai,Report Request,Medium,Portal,Vendor Management,Closed,2.9,24,No,1,3.9,400,1160.0,Aug,8,Q3,Monday
OPS-101808,2025-08-02,Sales,Hyderabad,Access Request,Medium,Portal,Vendor Management,Closed,18.5,24,No,2,3.9,350,6475.0,Aug,8,Q3,Saturday
OPS-100489,2025-10-17,IT,Bengaluru,Employee Query,Low,Portal,MIS,Pending,1.8,48,No,0,4.6,320,576.0,Oct,10,Q4,Friday
OPS-100983,2025-04-28,Procurement,Pune,Compliance Request,Low,Teams,HR Ops,Closed,17.0,48,No,1,4.2,350,5950.0,Apr,4,Q2,Monday
OPS-105000,2025-04-03,Customer Support,Mumbai,Access Request,Low,Teams,IT Support,Closed,10.7,48,No,0,4.5,450,4815.0,Apr,4,Q2,Thursday
OPS-102898,2025-01-28,Sales,Chennai,System Issue,Low,Email,HR Ops,Closed,5.8,48,No,0,4.7,350,2030.0,Jan,1,Q1,Tuesday
OPS-103726,2025-01-11,Finance,Chennai,Data Correction,Medium,Email,Finance Ops,Closed,1.5,24,No,0,5.0,350,525.0,Jan,1,Q1,Saturday
OPS-100466,2025-03-27,Customer Support,Gurugram,Data Correction,Medium,Email,Vendor Management,Closed,2.7,24,No,0,4.6,400,1080.0,Mar,3,Q1,Thursday
OPS-100078,2025-08-03,Sales,Noida,Access Request,Medium,Teams,HR Ops,Escalated,18.2,24,No,1,4.2,280,5096.0,Aug,8,Q3,Sunday
OPS-103215,2025-03-13,Customer Support,Hyderabad,System Issue,Medium,Phone,HR Ops,Closed,16.4,24,No,0,4.8,350,5740.0,Mar,3,Q1,Thursday
OPS-103922,2025-10-21,Finance,Mumbai,Vendor Query,Medium,Phone,Finance Ops,Escalated,8.2,24,No,1,5.0,450,3690.0,Oct,10,Q4,Tuesday
OPS-104726,2025-02-28,IT,Mumbai,System Issue,Medium,Email,IT Support,Closed,5.8,24,No,2,4.3,280,1624.0,Feb,2,Q1,Friday
OPS-104528,2025-04-20,HR,Hyderabad,Access Request,Medium,Portal,MIS,Closed,15.9,24,No,1,4.5,450,7155.0,Apr,4,Q2,Sunday
OPS-101194,2025-12-10,Sales,Noida,Report Request,Low,Portal,Finance Ops,Closed,20.3,48,No,0,4.4,320,6496.0,Dec,12,Q4,Wednesday
OPS-100777,2025-09-08,Procurement,Pune,Report Request,Low,Portal,Vendor Management,Pending,6.3,48,No,1,4.2,320,2016.0,Sep,9,Q3,Monday
OPS-101482,2025-06-20,IT,Noida,Compliance Request,Low,Portal,MIS,Closed,25.1,48,No,0,4.1,280,7028.0,Jun,6,Q2,Friday
OPS-102331,2025-01-05,Procurement,Hyderabad,Access Request,High,Portal,Finance Ops,Escalated,13.8,12,Yes,2,4.3,350,4830.0,Jan,1,Q1,Sunday
OPS-100820,2025-08-23,IT,Mumbai,Employee Query,Medium,Portal,HR Ops,Closed,5.6,24,No,0,4.8,450,2520.0,Aug,8,Q3,Saturday
OPS-100894,2025-11-08,Finance,Bengaluru,System Issue,Low,Email,MIS,Closed,4.6,48,No,1,4.8,280,1288.0,Nov,11,Q4,Saturday
OPS-100863,2025-05-01,HR,Pune,Report Request,Medium,Email,IT Support,Closed,11.8,24,No,0,4.7,320,3776.0,May,5,Q2,Thursday
OPS-100645,2025-02-27,Sales,Pune,Report Request,Medium,Portal,Finance Ops,Escalated,16.0,24,No,1,4.5,280,4480.0,Feb,2,Q1,Thursday
OPS-104086,2025-08-30,HR,Hyderabad,Report Request,Low,Email,Vendor Management,Pending,18.3,48,No,0,4.6,350,6405.0,Aug,8,Q3,Saturday
OPS-101857,2025-11-14,HR,Gurugram,Employee Query,Medium,Email,MIS,Closed,4.1,24,No,2,4.2,280,1148.0,Nov,11,Q4,Friday
OPS-102675,2025-05-09,Finance,Hyderabad,Compliance Request,Medium,Phone,HR Ops,Closed,8.6,24,No,0,4.7,320,2752.0,May,5,Q2,Friday
OPS-101866,2025-05-07,Sales,Pune,Report Request,High,Portal,Finance Ops,Closed,4.2,12,No,0,4.7,450,1890.0,May,5,Q2,Wednesday
OPS-102936,2025-03-09,IT,Gurugram,System Issue,Medium,Email,Finance Ops,Closed,4.5,24,No,3,3.9,280,1260.0,Mar,3,Q1,Sunday
OPS-104355,2025-09-15,Finance,Mumbai,Access Request,Medium,Portal,MIS,Closed,13.4,24,No,0,3.7,350,4690.0,Sep,9,Q3,Monday
OPS-101757,2025-09-28,Sales,Noida,System Issue,Low,Email,MIS,Pending,7.8,48,No,0,4.9,450,3510.0,Sep,9,Q3,Sunday
OPS-100495,2025-09-14,HR,Mumbai,Vendor Query,Medium,Portal,IT Support,Closed,5.6,24,No,2,3.7,400,2240.0,Sep,9,Q3,Sunday
OPS-100202,2025-04-11,HR,Gurugram,Data Correction,Low,Portal,IT Support,Closed,2.4,48,No,1,5.0,280,672.0,Apr,4,Q2,Friday
OPS-104848,2025-07-16,Finance,Mumbai,Data Correction,Critical,Email,IT Support,Pending,12.2,4,Yes,0,4.3,320,3904.0,Jul,7,Q3,Wednesday
OPS-103131,2025-05-04,IT,Gurugram,Invoice Query,Low,Email,Vendor Management,Closed,5.6,48,No,0,5.0,350,1960.0,May,5,Q2,Sunday
OPS-103117,2025-04-12,Procurement,Bengaluru,Data Correction,Medium,Portal,HR Ops,Closed,19.1,24,No,0,3.9,450,8595.0,Apr,4,Q2,Saturday
